doc_id,text,processed_text
188,What causes nightmares that seem real?,caus nightmar seem real
274,Does it matter whether humanity is evil or not?,matter whether human evil
314,How do you upload movies on YouTube and monetize them? Is there any issue of copyright,upload movi youtub monet issu copyright
360,Do animals (besides humans) kiss?,anim besid human kiss
494,Who will disrupt Bloomberg?,disrupt bloomberg
614,What job possibilities exist for a Bachelors in Homeland Security?,job possibl exist bachelor homeland secur
617,What are good books to self study calculus?,good book self studi calculu
681,Earthquake resistant homes?,earthquak resist home
726,How can I become a good speaker?,becom good speaker
752,How do I maintain my peace of mind?,maintain peac mind
804,How can I get entry in MIT?,get entri mit
805,What are the requirements for selection into MIT?,requir select mit
822,"Is Donald Trump taking cocaine, as Howard Dean suggests?",donald trump take cocain howard dean suggest
841,What is your bucket list?,bucket list
884,What are the minimum requirements to enter MIT?,minimum requir enter mit
964,Why are police lights red and blue?,polic light red blue
1092,How can I hack someones whatsapp account?,hack someon whatsapp account
1144,What is the difference in pleasure between masturbation and sex?,differ pleasur masturb sex
1235,Has Pakistan become a safe haven for global terrorism?,pakistan becom safe global terror
1239,What's the best classical music piece of all time?,best classic music piec time
1250,What are the conditions in European refugee camps?,condit european refuge camp
1306,Where can I get professional photo booths service in Sydney?,get profession photo booth servic sydney
1463,Who are the best hackers in India?,best hacker india
1565,Does Trump have a chance at winning presidency?,trump chanc win presid
1570,How do i meet suresh raina?,meet suresh raina
1607,How do I know if the girl am dating online truly live me for real?,know girl date onlin truli live real
1629,Is the soul immortal?,soul immort
1666,Which is the best pmp certification center in Bangalore?,best pmp certif center bangalor
1711,How is the job situation in New Zealand for computer science graduates?,job situat new zealand comput scienc graduat
2221,How can I hack a WhatsApp account?,hack whatsapp account
15004,How do I get addmision in MIT?,get addmis mit
15005,How can I be selected in mit?,select mit
16666,What do I need to do to get into MIT?,need get mit
16667,What should I do to join mit?,join mit
18074,How can I get admitted to MIT?,get admit mit
25255,What is the best way to start learning programming concepts and skills?,best way start learn program concept skill
25256,"I start learning programming with Java, Is that a wrong step in learning programming? Do I have go back to start with another language?",start learn program java wrong step learn program back start anoth languag
25854,Where can I get the best quality photo booths in Sydney?,get best qualiti photo booth sydney
29691,What is the best way to learn web designing?,best way learn web design
32637,Does we exist?,exist
33830,How can I hack my boyfriends WhatsApp?,hack boyfriend whatsapp
35564,How IS TO get into MIT?,get mit
36746,Can you hack my crush's WhatsApp account for me?,hack crush whatsapp account
37250,How to get admissions in MIT?,get admiss mit
49615,How can I hack my spouse whatsapp account?,hack spous whatsapp account
54037,How do I start learning programming while having a full time job?,start learn program full time job
54038,How do I start learning programming language? Which one to start with?,start learn program languag one start
58998,"How do I start learning passionate programming from ""zero"" abilities?",start learn passion program zero abil
58999,How do I start learning and practicing programming?,start learn practic program
60162,What should I do to get into MIT (undergrad)?,get mit undergrad
63589,How do I start learning programming from beginner to expert?,start learn program beginn expert
64583,What Delhi people think about kejriwal?,delhi peopl think kejriw
65904,"May 2016: What do Delhi people think about Kejriwal, are YOU really satisfied with Governance and his attitude to PM Modi?",may delhi peopl think kejriw realli satisfi govern attitud modi
67488,How should I start learning how to code with zero knowledge in programming?,start learn code zero knowledg program
68732,Why do we have nightmares? What is the cause of nightmares?,nightmar caus nightmar
68733,What are the main causes of nightmares?,main caus nightmar
71619,Can I upload part of anime videos on YouTube and monetize it without copyright issue?,upload part anim video youtub monet without copyright issu
71620,How can I upload anime on YouTube without copyright issue?,upload anim youtub without copyright issu
73075,What is fermentation?,ferment
83894,Why is Pakistan supporting terrorism?,pakistan support terror
96627,I'm 19 years old and want to start learning programming and coding from the zero . where and how do I start?,year old want start learn program code zero start
97472,July 2016: What do people of Delhi think about Arvind Kejriwal as CM.,juli peopl delhi think arvind kejriw
98251,What is best way to start learning programming?,best way start learn program
98252,What should I do to learn programming? Can anyone suggest to me the best way?,learn program anyon suggest best way
98860,How can I start programming from zero level?,start program zero level
113000,Where should I start learning to program?,start learn program
114719,Why do dreams feel so real?,dream feel real
121213,How do I hack my wife's WhatsApp account?,hack wife whatsapp account
130532,How much weight will I lose if I don't eat for a week?,much weight lose eat week
134030,What's the best question to ask in Quora?,best question ask quora
134031,What are good questions to ask on Quora?,good question ask quora
138801,What is the best way to learn to code? And the best language to learn?,best way learn code best languag learn
138802,What is the best way to learn computer programming languages?,best way learn comput program languag
140328,How do I get into MIT graduate school?,get mit graduat school
144797,How can I become a good public speaker?,becom good public speaker
144798,How do I become good public speaker?,becom good public speaker
144864,Why do I have nightmares?,nightmar
161940,Does Trump have a chance to win the elections?,trump chanc win elect
193729,What does the Delhi public actually think about Arvind Kejriwal?,delhi public actual think arvind kejriw
201402,I know nothing about programming. What is the best way and the best language to start learning how to program?,know noth program best way best languag start learn program
201941,Is it necessary to unlock bootloader before rooting?,necessari unlock bootload root
202157,Why do we get Nightmares?,get nightmar
209454,Where can I get the best photo booth service in Sydney?,get best photo booth servic sydney
239962,How will I know if my online chatmate loves me?,know onlin chatmat love
256947,How do you get started learning programming?,get start learn program
271267,Why should I ask Quora?,ask quora
290714,Does Donald Trump do coke?,donald trump coke
308128,What is the best way to learn and master a computer programming language?,best way learn master comput program languag
332403,How do I start a solar energy business?,start solar energi busi
350197,How can I become good speaker?,becom good speaker
355262,How do I upload YouTube videos which have copyright issues if I want to monetize them?,upload youtub video copyright issu want monet
357937,Is Google's search monopoly capable of being disrupted?,googl search monopoli capabl disrupt
364671,Why is money the most important thing in life?,money import thing life
378282,Is male circumcision compulsory in Islam?,male circumcis compulsori islam
394711,What do you think causes bad dreams?,think caus bad dream
394712,Why do we have bad dreams?,bad dream
486651,Which is the best book to start studying calculus?,best book start studi calculu
1,What is the step by step guide to invest in share market in india?,step step guid invest share market india
2,What is the step by step guide to invest in share market?,step step guid invest share market
3,What is the story of Kohinoor (Koh-i-Noor) Diamond?,stori kohinoor koh noor diamond
4,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,would happen indian govern stole kohinoor koh noor diamond back
5,How can I increase the speed of my internet connection while using a VPN?,increas speed internet connect use vpn
6,How can Internet speed be increased by hacking through DNS?,internet speed increas hack dn
7,Why am I mentally very lonely? How can I solve it?,mental lone solv
8,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",find remaind math math divid
9,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",one dissolv water quikli sugar salt methan carbon oxid
10,Which fish would survive in salt water?,fish would surviv salt water
11,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,astrolog capricorn sun cap moon cap rise say
12,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",tripl capricorn sun moon ascend capricorn say
13,Should I buy tiago?,buy tiago
14,What keeps childern active and far from phone and video games?,keep childern activ far phone video game
15,How can I be a good geologist?,good geologist
16,What should I do to be a great geologist?,great geologist
17,When do you use シ instead of し?,use instead
18,"When do you use ""&"" instead of ""and""?",use instead
19,Motorola (company): Can I hack my Charter Motorolla DCX3400?,motorola compani hack charter motorolla dcx
20,How do I hack Motorola DCX3400 for free internet?,hack motorola dcx free internet
21,Method to find separation of slits using fresnel biprism?,method find separ slit use fresnel biprism
22,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,thing technician tell durabl reliabl laptop compon
23,How do I read and find my YouTube comments?,read find youtub comment
24,How can I see all my Youtube comments?,see youtub comment
25,What can make Physics easy to learn?,make physic easi learn
26,How can you make physics easy to learn?,make physic easi learn
27,What was your first sexual experience like?,first sexual experi like
28,What was your first sexual experience?,first sexual experi
29,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",law chang statu student visa green card compar immigr law canada
30,What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,law chang statu student visa green card compar immigr law japan
31,What would a Trump presidency mean for current international master’s students on an F1 visa?,would trump presid mean current intern master student visa
32,How will a Trump presidency affect the students presently in US or planning to study in US?,trump presid affect student present plan studi
33,What does manipulation mean?,manipul mean
34,What does manipulation means?,manipul mean
35,Why do girls want to be friends with the guy they reject?,girl want friend guy reject
36,How do guys feel after rejecting a girl?,guy feel reject girl
37,Why are so many Quora users posting questions that are readily answered on Google?,mani quora user post question readili answer googl
38,Why do people ask Quora questions which can be answered easily by Google?,peopl ask quora question answer easili googl
39,Which is the best digital marketing institution in banglore?,best digit market institut banglor
40,Which is the best digital marketing institute in Pune?,best digit market institut pune
41,Why do rockets look white?,rocket look white
42,Why are rockets and boosters painted white?,rocket booster paint white
43,What's causing someone to be jealous?,caus someon jealou
44,What can I do to avoid being jealous of someone?,avoid jealou someon
45,What are the questions should not ask on Quora?,question ask quora
47,How much is 30 kV in HP?,much
48,Where can I find a conversion chart for CC to horsepower?,find convers chart horsepow
49,What does it mean that every time I look at the clock the numbers are the same?,mean everi time look clock number
50,How many times a day do a clock’s hands overlap?,mani time day clock hand overlap
51,What are some tips on making it through the job interview process at Medicines?,tip make job interview process medicin
52,What are some tips on making it through the job interview process at Foundation Medicine?,tip make job interview process foundat medicin
53,What is web application?,web applic
54,What is the web application framework?,web applic framework
55,Does society place too much importance on sports?,societi place much import sport
56,How do sports contribute to the society?,sport contribut societi
57,What is best way to make money online?,best way make money onlin
58,What is best way to ask for money online?,best way ask money onlin
59,How should I prepare for CA final law?,prepar final law
60,How one should know that he/she completely prepare for CA final exam?,one know complet prepar final exam
61,What's one thing you would like to do better?,one thing would like better
62,What's one thing you do despite knowing better?,one thing despit know better
63,What are some special cares for someone with a nose that gets stuffy during the night?,special care someon nose get stuffi night
64,How can I keep my nose from getting stuffy at night?,keep nose get stuffi night
65,What Game of Thrones villain would be the most likely to give you mercy?,game throne villain would like give merci
66,What Game of Thrones villain would you most like to be at the mercy of?,game throne villain would like merci
67,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",unit state govern still blacklist employ etc unit state citizen polit view
68,How is the average speed of gas molecules determined?,averag speed ga molecul determin
69,What is the best travel website in spain?,best travel websit spain
70,What is the best travel website?,best travel websit
71,Why do some people think Obama will try to take their guns away?,peopl think obama tri take gun away
72,Has there been a gun control initiative to take away guns people already own?,gun control initi take away gun peopl alreadi
73,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,year old improv skill becom entrepreneur next year
74,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,year old guy becom billionair next year
75,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",girlfriend ask boyfriend choos make want one repli
76,My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,girlfriend said end confus feel wish well disconnect call ask want get back togeth
77,How do we prepare for UPSC?,prepar upsc
78,How do I prepare for civil service?,prepar civil servic
79,What is the stall speed and AOA of an f-14 with wings fully swept back?,stall speed aoa wing fulli swept back
80,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",aircraft stop use variabl sweep wing like
81,Why do Slavs squat?,slav squat
82,Will squats make my legs thicker?,squat make leg thicker
83,When can I expect my Cognizant confirmation mail?,expect cogniz confirm mail
84,When can I expect Cognizant confirmation mail?,expect cogniz confirm mail
85,"Can I make 50,000 a month by day trading?",make month day trade
86,"Can I make 30,000 a month by day trading?",make month day trade
87,Is being a good kid and not being a rebel worth it in the long run?,good kid rebel worth long run
88,Is being bored good for a kid?,bore good kid
89,What universities does Rexnord recruit new grads from? What majors are they looking for?,univers rexnord recruit new grad major look
90,What universities does B&G Foods recruit new grads from? What majors are they looking for?,univers food recruit new grad major look
91,What is the quickest way to increase Instagram followers?,quickest way increas instagram follow
92,How can we increase our number of Instagram followers?,increas number instagram follow
93,How did Darth Vader fought Darth Maul in Star Wars Legends?,darth vader fought darth maul star war legend
94,Does Quora have a character limit for profile descriptions?,quora charact limit profil descript
95,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?",stage break coupl mean happen break emot whether male femal
96,"Who is affected more by a breakup, the boy or the girl?",affect breakup boy girl
97,What are some examples of products that can be make from crude oil?,exampl product make crude oil
98,What are some of the products made from crude oil?,product made crude oil
99,How do I make friends.,make friend
100,How to make friends ?,make friend
101,Is Career Launcher good for RBI Grade B preparation?,career launcher good rbi grade prepar
102,How is career launcher online program for RBI Grade B?,career launcher onlin program rbi grade
103,"Will a Blu Ray play on a regular DVD player? If so, how?",blu ray play regular dvd player
104,How can you play a Blu Ray DVD on a regular DVD player?,play blu ray dvd regular dvd player
105,Nd she is always sad?,alway sad
106,Aerodynamically what happens when propellor rotates?,aerodynam happen propellor rotat
107,What is the best/most memorable thing you've ever eaten and why?,best memor thing ever eaten
108,What is the most delicious dish you've ever eaten and why?,delici dish ever eaten
109,How GST affects the CAs and tax officers?,gst affect ca tax offic
110,Why can't I do my homework?,homework
111,How difficult is it get into RSI?,difficult get rsi
112,Do you apply for programs like RSI when you're a rising senior?,appli program like rsi rise senior
113,Who is israil friend?,israil friend
114,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,boyfriend lie true feel friend secretli attract
115,What are some good rap songs to dance to?,good rap song danc
116,What are some of the best rap songs?,best rap song
117,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,suddenli log gmail rememb gmail password realiz recoveri email longer aliv
118,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,rememb gmail password recoveri email recov mail
119,What are the best ways to learn French?,best way learn french
120,How do I learn french genders?,learn french gender
121,How do I download content from a kickass torrent without registration?,download content kickass torrent without registr
122,Is Kickass Torrents trustworthy?,kickass torrent trustworthi
123,Is it normal to have a dark ring around the iris of my eye?,normal dark ring around iri eye
124,What causes a dark ring around the iris? How should it be treated?,caus dark ring around iri treat
125,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,new harri potter book harri potter curs child
126,How bad is the new book by J.K Rowling?,bad new book rowl
127,Why do I always get depressed?,alway get depress
128,Why do I always get depressed in the evening?,alway get depress even
129,Where can I find a European family office database?,find european famili offic databas
130,Where do I find a U.S. family office database?,find famili offic databas
131,What is Java programming? How To Learn Java Programming Language ?,java program learn java program languag
132,How do I learn a computer language like java?,learn comput languag like java
133,What is the best book ever made?,best book ever made
134,What is the most important book you have ever read?,import book ever read
135,Can we ever store energy produced in lightning?,ever store energi produc lightn
136,Is it possible to store the energy of lightning?,possibl store energi lightn
137,What is your review of Performance Testing?,review perform test
138,What is performance testing?,perform test
139,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,cost much privaci germani come els lost gain much privaci
140,Are there any people who genuinely enjoy salad with no dressing?,peopl genuin enjoy salad dress
141,What are the types of immunity?,type immun
142,What are the different types of immunity in our body?,differ type immun bodi
143,What is a narcissistic personality disorder?,narcissist person disord
144,What is narcissistic personality disorder?,narcissist person disord
145,How I can speak English fluently?,speak english fluentli
146,How can I learn to speak English fluently?,learn speak english fluentli
147,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,help quickbook auto data recoveri support phone number recov corrupt data file
148,What is the quickbooks customer support phone number USA?,quickbook custom support phone number usa
149,Who is the richest gambler of all time and how can I reach his level?,richest gambler time reach level
150,Who is the richest gambler of all time and how can I reach his level as a gambler?,richest gambler time reach level gambler
